"CODIGO IMPA","DESCRIÇÃO EM PORTUGUÊS","DESCRIÇÃO EM INGLÊS","Unnamed: 2"
"110911","ACESSORIOS PARA CABELO (ESCOVAS. PENTES) - HAIR BRUSH. BRISTLE - PC                                                                                   ","HAIR BRUSH BRISTLE                                                                                                                                    ",""
"110910","ACESSORIOS PARA CABELO (ESCOVAS. PENTES) - HAIR BRUSH. PLASTIC - PC                                                                                   ","HAIR BRUSH PLASTIC                                                                                                                                    ",""
"110905","ACESSORIOS PARA CABELO (ESCOVAS. PENTES) - HAIR COMB. POCKET TYPE WITH SACK - PC                                                                      ","HAIR COMB POCKETABLE WITH SACK                                                                                                                        ",""
"110975","ACESSORIOS PARA TRATAR CALCADOS - SHOE LACES - PR                                                                                                     ","SHOE LACES                                                                                                                                            ",""
"110970","ACESSORIOS PARA TRATAR CALCADOS - SHOE POLISH LIQUID 75 ML - BTL                                                                                      ","SHOE POLISH LIQUID 75ML                                                                                                                               ",""
"110971","ACESSORIOS PARA TRATAR CALCADOS - SHOE POLISH SOLID 45 ML - TIN                                                                                       ","SHOE POLISH SOLID 45GRM                                                                                                                               ",""
"111205","ANTENA DE TV (MARINE TV) - SUPPLY VOLTAGE AC 110/220 V WITH ASSEMBLY - SET                                                                            ","MARINE TV ANTENNA AC110/220V WITH ASSEMBLY                                                                                                            ",""
"110270","BALANCAS PARA BANHEIRO - ANALOG TYPE - CAPACIDADE KGS: 0 - 100                                                                                        ","BATHROOM SCALE 0-100KGS ANALOG                                                                                                                        ",""
"110271","BALANCAS PARA BANHEIRO - ANALOG TYPE - CAPACIDADE KGS: 0 - 130                                                                                        ","BATHROOM SCALE 0-130KG ANALOG                                                                                                                         ",""
"110275","BALANCAS PARA BANHEIRO - TIPO DIGITAL - CAPACIDADE KGS: 0 - 100                                                                                       ","BATHROOM SCALE 0-100KG DIGITAL                                                                                                                        ",""
"110276","BALANCAS PARA BANHEIRO - TIPO DIGITAL - CAPACIDADE KGS: 0 - 130                                                                                       ","BATHROOM SCALE 0-130KG DIGITAL                                                                                                                        ",""
"111840","BALAO DE SOPRAR TIPO FESTA C/50                                                                                                                       ","BALLOON RUBBER COLORED W¦50¦S                                                                                                                         ",""
"110935","BARBEADOR. ETC. - HAND. DISPOSABLE 5'S - PKT                                                                                                          ","SHAVER HAND DISPOSABLE 5'S                                                                                                                            ",""
"110936","BARBEADOR. ETC. - HAND. INJECTOR TYPE - PC                                                                                                            ","SHAVER HAND INJECTOR TYPE GILLETTE G-II                                                                                                               ",""
"110940","BARBEADOR. ETC. - SHAVING BLADE. INJECTOR TYPE - PKT                                                                                                  ","SHAVING BLADE INJECTOR TYPE GILLETTE G-II 5'S                                                                                                         ",""
"110945","BARBEADOR. ETC. - SHAVING BRUSH - PC                                                                                                                  ","SHAVING BRUSH                                                                                                                                         ",""
"110101","BICICLETA ERGOMETRICA (ESTACIONARIA) - INDOOR USE - SET                                                                                               ","STATIONARY BICYCLE INDOOR USE                                                                                                                         ",""
"110145","BOLA DE PING PONG                                                                                                                                     ","TABLE TENNIS BALL                                                                                                                                     ",""
"110185","BOLAS DE JOGAR - BASKET BALL. LEATHER - PC                                                                                                            ","BASKET BALL LEATHER                                                                                                                                   ",""
"110184","BOLAS DE JOGAR - BASKET BALL. RUBBER - PC                                                                                                             ","BASKET BALL RUBBER                                                                                                                                    ",""
"110183","BOLAS DE JOGAR - SOCCER BALL. LEATHER - PC                                                                                                            ","SOCCER BALL LEATHER                                                                                                                                   ",""
"110182","BOLAS DE JOGAR - SOCCER BALL. RUBBER - PC                                                                                                             ","SOCCER BALL RUBBER                                                                                                                                    ",""
"110181","BOLAS DE JOGAR - VOLLEY BALL. LEATHER - PC                                                                                                            ","VOLLEY BALL LEATHER                                                                                                                                   ",""
"110180","BOLAS DE JOGAR - VOLLEY BALL. RUBBER - PC                                                                                                             ","VOLLEY BALL RUBBER                                                                                                                                    ",""
"112042","CALCAS CURTAS (BERMUDAS) - COR / TAM.: BRANCO L                                                                                                       ","PANTS SHORT WHITE SIZE-L                                                                                                                              ",""
"112043","CALCAS CURTAS (BERMUDAS) - COR / TAM.: BRANCO LL                                                                                                      ","PANTS SHORT WHITE SIZE-LL                                                                                                                             ",""
"112041","CALCAS CURTAS (BERMUDAS) - COR / TAM.: BRANCO M                                                                                                       ","PANTS SHORT WHITE SIZE-M                                                                                                                              ",""
"112047","CALCAS CURTAS (BERMUDAS) - COR / TAM.: KHAKI L                                                                                                        ","PANTS SHORT KHAKI SIZE-L                                                                                                                              ",""
"112047","CALCAS CURTAS (BERMUDAS) - COR / TAM.: KHAKI LL                                                                                                       ","SHORT PANTS - COLOUR / SIZE: KHAKI LL                                                                                                                 ",""
"112046","CALCAS CURTAS (BERMUDAS) - COR / TAM.: KHAKI M                                                                                                        ","PANTS SHORT KHAKI SIZE-M                                                                                                                              ",""
"112021","CAMISAS COLORIDAS PARA ESPORTE COM GOLA FECHADA - ITEM: MANGA CURTA M                                                                                 ","SHIRTS SPORTING COLORED SHORT SLEEVES SIZE-M                                                                                                          ",""
"112022","CAMISAS COLORIDAS PARA ESPORTE COM GOLA FECHADA - ITEM: MANGA CURTA L                                                                                 ","SHIRTS SPORTING COLORED SHORT SLEEVES SIZE-L                                                                                                          ",""
"112023","CAMISAS COLORIDAS PARA ESPORTE COM GOLA FECHADA - ITEM: MANGA CURTA LL                                                                                ","SHIRTS SPORTING COLORED SHORT SLEEVES SIZE-LL                                                                                                         ",""
"112026","CAMISAS COLORIDAS PARA ESPORTE COM GOLA FECHADA - ITEM: MANGA COMP. M                                                                                 ","SHIRTS SPORTING COLORED LONG SLEEVES SIZE-M                                                                                                           ",""
"112027","CAMISAS COLORIDAS PARA ESPORTE COM GOLA FECHADA - ITEM: MANGA COMP. L                                                                                 ","SHIRTS SPORTING COLORED LONG SLEEVES SIZE-L                                                                                                           ",""
"112028","CAMISAS COLORIDAS PARA ESPORTE COM GOLA FECHADA - ITEM: MANGA COMP. LL                                                                                ","SHIRTS SPORTING COLORED LONG SLEEVES SIZE-LL                                                                                                          ",""
"112001","CAMISAS MANGA CURTA COLARINHO (GOLA) ABERTO - COR / TAM.: BRANCO M                                                                                    ","SHIRTS OPEN COLLARED WHITE SHORT SLEEVES SIZE-M                                                                                                       ",""
"112002","CAMISAS MANGA CURTA COLARINHO (GOLA) ABERTO - COR / TAM.: BRANCO L                                                                                    ","SHIRTS OPEN COLLARED WHITE SHORT SLEEVES SIZE-L                                                                                                       ",""
"112003","CAMISAS MANGA CURTA COLARINHO (GOLA) ABERTO - COR / TAM.: BRANCO LL                                                                                   ","SHIRTS OPEN COLLARED WHITE SHORT SLEEVES SIZE LL                                                                                                      ",""
"112006","CAMISAS MANGA CURTA COLARINHO (GOLA) ABERTO - COR / TAM.: KHAKI M                                                                                     ","SHIRTS OPEN COLLARED KHAKI SHORT SLEEVES SIZE-M                                                                                                       ",""
"112007","CAMISAS MANGA CURTA COLARINHO (GOLA) ABERTO - COR / TAM.: KHAKI L                                                                                     ","SHIRTS OPEN COLLARED KHAKI SHORT SLEEVES SIZE-L                                                                                                       ",""
"112008","CAMISAS MANGA CURTA COLARINHO (GOLA) ABERTO - COR / TAM.: KHAKI LL                                                                                    ","SHIRTS OPEN COLLARED KHAKI SHORT SLEEVES SIZE LL                                                                                                      ",""
"112032","CAMISETAS (MANGA CURTA) - COR / TAM.: BRANCO L                                                                                                        ","T-SHIRT SHORT SLEEVE WHITE SIZE-L                                                                                                                     ",""
"112033","CAMISETAS (MANGA CURTA) - COR / TAM.: BRANCO LL                                                                                                       ","T-SHIRT SHORT SLEEVE WHITE SIZE-LL                                                                                                                    ",""
"112031","CAMISETAS (MANGA CURTA) - COR / TAM.: BRANCO M                                                                                                        ","T-SHIRT SHORT SLEEVE WHITE SIZE-M                                                                                                                     ",""
"112037","CAMISETAS (MANGA CURTA) - COR / TAM.: COR L                                                                                                           ","T-SHIRT SHORT SLEEVE COLORED SIZE-L                                                                                                                   ",""
"112038","CAMISETAS (MANGA CURTA) - COR / TAM.: COR LL                                                                                                          ","T-SHIRT SHORT SLEEVE COLORED SIZE-LL                                                                                                                  ",""
"112036","CAMISETAS (MANGA CURTA) - COR / TAM.: COR M                                                                                                           ","T-SHIRT SHORT SLEEVE COLORED SIZE-M                                                                                                                   ",""
"110901","CONJUNTO DE BARBEAR E TESOURA - HAIR CLIPPER - SET                                                                                                    ","BARBER HAIR CLIPPER SET                                                                                                                               ",""
"110902","CONJUNTO DE BARBEAR E TESOURA - HAIR SCISSORS - SET                                                                                                   ","BARBER HAIR SCISSORS SET                                                                                                                              ",""
"110120","CONJUNTO DE PESOS. ETC. - BARBELL SET. WEIGHT:       KG - SET                                                                                         ","BARBELL SET                                                                                                                                           ",""
"110126","CONJUNTO DE PESOS. ETC. - BARBELL STAND - SET                                                                                                         ","BARBELL STAND                                                                                                                                         ",""
"110122","CONJUNTO DE PESOS. ETC. - DUMBBELL SET. WEIGHT:       KG - SET                                                                                        ","DUMBBELL SET                                                                                                                                          ",""
"110124","CONJUNTO DE PESOS. ETC. - SPINE PRESS BENCH - SET                                                                                                     ","SPINE PRESS BENCH                                                                                                                                     ",""
"110515","CONJUNTO PARA FUMANTES - BUTANE GAS FOR CIGARETTE LIGHTER 78 GRM - TIN                                                                                ","BUTANE GAS FOR CIGARETTE LIGHTER 78GRM                                                                                                                ",""
"110516","CONJUNTO PARA FUMANTES - BUTANE GAS RONSON'S 30 GRM - TIN                                                                                             ","BUTANE GAS RONSON'S 30GRM                                                                                                                             ",""
"110510","CONJUNTO PARA FUMANTES - CIGARETTE LIGHTER. ONEWAY USE - PC                                                                                           ","LIGHTER CIGARETTE ONEWAY USE                                                                                                                          ",""
"110511","CONJUNTO PARA FUMANTES - CIGARETTE LIGHTER. WINDPROOF - PC                                                                                            ","LIGHTER CIGARETTE WIND-PROOF                                                                                                                          ",""
"110522","CONJUNTO PARA FUMANTES - FLINT FOR CIGARETTE LIGHTER 5'S/PKT - PKT                                                                                    ","FLINT FOR CIGARETTE LIGHTER 5'S                                                                                                                       ",""
"110520","CONJUNTO PARA FUMANTES - FUEL FOR CIGARETTE LIGHTER 130 ML - BTL                                                                                      ","FUEL FOR CIGARETTE LIGHTER 130ML                                                                                                                      ",""
"110506","CONJUNTO PARA FUMANTES - SMOKING PIPE CLEANER 50'S/PKT - PKT                                                                                          ","SMOKING PIPE CLEANER 50'S                                                                                                                             ",""
"110504","CONJUNTO PARA FUMANTES - SMOKING PIPE. BRIER. CORN - PC                                                                                               ","PIPE SMOKING CORN                                                                                                                                     ",""
"110502","CONJUNTO PARA FUMANTES - SMOKING PIPE. BRIER. CURVED - PC                                                                                             ","PIPE SMOKING BRIER CURVED                                                                                                                             ",""
"110501","CONJUNTO PARA FUMANTES - SMOKING PIPE. BRIER. STRAIGHT - PC                                                                                           ","PIPE SMOKING BRIER STRAIGHT                                                                                                                           ",""
"110503","CONJUNTO PARA FUMANTES - SMOKING PIPE. BRIER. TWO-WAY - PC                                                                                            ","PIPE SMOKING BRIER TWO-WAY                                                                                                                            ",""
"110955","CORTADORES DE UNHAS - NAIL BRUSH. NYLON - PC                                                                                                          ","NAIL BRUSH NYLON                                                                                                                                      ",""
"110950","CORTADORES DE UNHAS - NAIL CLIPPER REGULAR - PC                                                                                                       ","NAIL CLIPPER REGULAR                                                                                                                                  ",""
"110951","CORTADORES DE UNHAS - NAIL CLIPPER WITH PARED NAIL POCKET - PC                                                                                        ","NAIL CLIPPER WITH PARED NAIL POCKET                                                                                                                   ",""
"110680","COSMETICOS - DEODORANTE ROLL-ON 30 ML - BTL                                                                                                           ","DEODORANT ROLL-ON 45ML                                                                                                                                ",""
"110681","COSMETICOS - DEODORANTE SPRAY 70 GRM - TIN                                                                                                            ","DEODORANT SPRAY 40GRM                                                                                                                                 ",""
"110620","COSMETICOS - HAIR CREAM 75 GRM - TUB                                                                                                                  ","HAIR CREAM OLD-SPICE 75GRM                                                                                                                            ",""
"110630","COSMETICOS - HAIR LIQUID 150 ML - BTL                                                                                                                 ","HAIR LIQUID OLD-SPICE 150ML                                                                                                                           ",""
"110601","COSMETICOS - HAIR SHAMPOO 220 ML - BTL                                                                                                                ","HAIR SHAMPOO 220ML                                                                                                                                    ",""
"110640","COSMETICOS - HAIR SPRAY 150 ML - BTL                                                                                                                  ","HAIR SPRAY BRAVAS 150ML                                                                                                                               ",""
"110610","COSMETICOS - HAIR TONIC 150 ML - BTL                                                                                                                  ","HAIR TONIC OLD-SPICE 150ML                                                                                                                            ",""
"110635","COSMETICOS - POMADE BRILLIANTINE 85 GRM - BTL                                                                                                         ","POMADE BRILLIANTINE BRAVAS 85GRM                                                                                                                      ",""
"110650","COSMETICOS - SHAVING CREAM 4-3/4 OZ - TUB                                                                                                             ","SHAVING CREAM MENNEN 4-3/4 OZ                                                                                                                         ",""
"110651","COSMETICOS - SHAVING CREAM 90 GRM - TUB                                                                                                               ","SHAVING CREAM OLD-SPICE 90GRM                                                                                                                         ",""
"110660","COSMETICOS - SHAVING FOAM 177 GRM - TIN                                                                                                               ","SHAVING FOAM MENNEN 150GRM                                                                                                                            ",""
"112132","CUECAS DE ALGODAO - COR / TAM.: BRANCO L                                                                                                              ","BRIEF COTTON WHITE SIZE-L                                                                                                                             ",""
